No.,프롬프트
12,"Capture a bodybuilder showing off incredible muscle definition during a posing routine. Film him hitting classic poses like most muscular, front double bicep, and side chest. Emphasize lighting that highlights every muscle fiber and his confident presentation. Use powerful, epic orchestral music. Add impressive text like ""Years of dedication"" or ""Built different"" in strong, masculine fonts."
13,"Show an adorable baby elephant playing in mud with pure joy and curiosity. Capture the young elephant rolling around, spraying mud, and exploring with its trunk. Include shots of its playful interactions with the environment. Use world music with African influences. Add heartwarming text like ""Pure innocence"" or ""Gentle giant"" with warm, earthy-toned fonts."
14,"Film a beautiful woman enjoying a perfect morning routine with coffee and pastries. Show her in cozy pajamas, sipping coffee while reading, with golden morning light streaming through windows. Capture content, peaceful expressions and aesthetic flat-lay shots of breakfast. Use soft acoustic music. Include text like ""Perfect morning"" or ""Cozy vibes"" in handwritten-style fonts."
15,"Feature an extreme athlete BASE jumping from a cliff with breathtaking mountain views. Capture the preparation, leap, and parachute deployment with stunning aerial footage. Show his fearless expression and the dramatic landscape below. Use epic cinematic music with orchestral swells. Add thrilling text like ""Living on the edge"" or ""Fear is temporary"" with bold, adventure-themed fonts."
16,"Show a playful golden retriever learning new tricks with treats as motivation. Capture the dog's focused attention, successful trick execution, and excited tail wagging for rewards. Include shots of the dog's intelligent eyes and eager expressions. Use cheerful, bouncy music. Add encouraging text like ""Smart cookie"" or ""Good boy energy"" with fun, playful fonts."
17,"Capture a fit woman crushing a high-intensity interval training workout. Show her performing burpees, mountain climbers, and jump squats with determination and perfect form. Emphasize her athletic build and sweat-drenched intensity. Use high-energy electronic dance music. Add motivational text like ""Sweat is magic"" or ""Strong is beautiful"" with bold, energetic typography."
18,"Film a muscular man performing impressive street workout moves on outdoor equipment. Show him doing muscle-ups, human flags, and planche push-ups with incredible control. Capture his defined physique and focused concentration. Use urban hip-hop beats with strong rhythms. Include inspiring text like ""Calisthenics king"" or ""Street athlete"" with graffiti-style fonts."
19,"Feature a tiny kitten taking its first wobbly steps and exploring a new environment. Show the kitten's curious expressions, hesitant movements, and adorable stumbles. Capture close-ups of tiny paws and big, wonder-filled eyes. Use gentle, nurturing music with soft instrumentals. Add sweet text like ""First adventures"" or ""Tiny explorer"" with delicate, whimsical fonts."
20,"Show a stunning woman doing an elaborate braided hairstyle tutorial with skilled hand movements. Capture the intricate braiding process, her focused expressions, and the beautiful final result. Emphasize the complexity and artistry of the hairstyle. Use trendy pop music that's Instagram-worthy. Include text like ""Hair goals"" or ""Braid queen"" with stylish, modern fonts."
21,"Capture an extreme sports athlete performing death-defying mountain bike stunts on dangerous terrain. Show him jumping massive gaps, riding narrow ridges, and executing technical maneuvers. Film his fearless expressions and the stunning mountain landscape. Use adrenaline-pumping rock music with intense guitar riffs. Add extreme text like ""No limits"" or ""Adrenaline junkie"" with rugged, adventure fonts."
22,"Film an adorable puppy experiencing snow for the first time with pure wonder and excitement. Show the puppy's confused but delighted reactions, pouncing on snowflakes, and getting buried in fluffy snow. Capture its playful energy and discovery moments. Use magical, winter-themed music. Add charming text like ""First snow day"" or ""Winter wonderland"" with frosty, sparkly fonts."
23,"Feature a gorgeous woman applying dramatic evening makeup with precision and artistry. Show close-up shots of smoky eye creation, contouring, and bold lip application. Emphasize her transformation and stunning final look. Use sultry, sophisticated background music. Include glamorous text like ""Night out ready"" or ""Transformation magic"" with elegant, luxurious fonts."
24,"Show a professional athlete performing Olympic-level gymnastics moves with incredible strength and grace. Capture him executing iron crosses, planches, and perfect handstands. Film his muscular control and years of training evident in every movement. Use inspiring, uplifting orchestral music. Add impressive text like ""Olympic dreams"" or ""Perfection in motion"" with prestigious, athletic fonts."
25,"Capture a fluffy rabbit munching on fresh vegetables in a beautiful garden setting. Show the rabbit's content expressions, twitching nose, and gentle eating motions. Include shots of colorful vegetables and the peaceful garden environment. Use calm, nature-inspired music with birds chirping. Add peaceful text like ""Garden feast"" or ""Simple joys"" with natural, organic-style fonts."
26,"Film a beautiful woman enjoying a luxurious bubble bath with candles and wine. Show her relaxed expressions, the aesthetic bathroom setup, and indulgent self-care moments. Capture the serene atmosphere and pampering ritual. Use soothing spa music with water sounds. Include relaxing text like ""Self-care ritual"" or ""Unwind time"" with elegant, calming fonts."
27,"Feature a rock climber scaling an impossible cliff face with incredible skill and determination. Show his muscular build, precise hand placements, and fearless ascent against dramatic rock formations. Capture the extreme height and challenging route. Use epic adventure music with building tension. Add inspiring text like ""Vertical limits"" or ""Rock warrior"" with rugged, outdoor-themed fonts."
28,"Show a sleepy kitten curled up in the most adorable sleeping positions with peaceful expressions. Capture different cute sleeping poses, gentle breathing, and occasional dream movements. Include soft, cozy textures and warm lighting. Use lullaby-style music with gentle instrumentals. Add sweet text like ""Dream time"" or ""Sleepy baby"" with soft, dreamy fonts."
29,"Capture a fit woman demonstrating perfect yoga flow sequences with grace and flexibility. Show her transitions between challenging poses, balanced movements, and serene expressions. Film in a beautiful natural setting with soft lighting. Use meditative music with Eastern influences. Include peaceful text like ""Mind-body connection"" or ""Yoga goddess"" with zen-inspired, minimalist fonts."
30,"Film a bodybuilder's arm workout showing incredible muscle pump and definition. Capture him performing bicep curls, tricep dips, and arm flexing with focused intensity. Emphasize the muscle development and training dedication. Use powerful gym music with heavy beats. Add motivational text like ""Arm day beast"" or ""Muscle machine"" with strong, masculine typography."
31,"Feature a baby duck following its mother in a perfect line across a pond. Show the adorable formation, tiny splashing movements, and protective mother-child bond. Capture the serene water setting and natural behavior. Use gentle nature music with water elements. Add heartwarming text like ""Family first"" or ""Following mama"" with warm, family-friendly fonts."
32,"Show a stunning woman creating the perfect winged eyeliner with steady hands and concentration. Capture extreme close-ups of the precise application, her focused expressions, and flawless technique. Emphasize the dramatic eye makeup result. Use trendy beauty music that's TikTok-worthy. Include text like ""Eyeliner goals"" or ""Precision artist"" with sharp, modern fonts."
33,"Capture an extreme skier performing dangerous jumps and tricks on steep mountain slopes. Show him launching off massive jumps, executing spins, and landing perfectly in deep powder. Film his fearless attitude and the breathtaking alpine scenery. Use high-energy electronic music with drops. Add thrilling text like ""Powder hound"" or ""Mountain beast"" with dynamic, winter sports fonts."
34,"Film a tiny hamster stuffing its cheeks with food in the most adorable way possible. Show the hamster's bulging cheeks, satisfied expressions, and busy eating motions. Capture the cute hoarding behavior and tiny paws. Use playful, lighthearted music with xylophone sounds. Add funny text like ""Cheek goals"" or ""Snack attack"" with cute, cartoonish fonts."
35,"Feature a gorgeous woman doing an intricate nail art design with artistic precision. Show close-up shots of detailed painting, her steady hands, and beautiful nail transformations. Emphasize the artistry and creative process. Use trendy pop music with good vibes. Include text like ""Nail artist"" or ""Finger art"" with colorful, artistic fonts."
36,"Show a calisthenics athlete performing superhuman strength moves with incredible muscle control. Capture him doing one-arm handstands, front levers, and impossible-looking static holds. Film his defined physique and years of training evident. Use epic motivational music with orchestral elements. Add impressive text like ""Strength god"" or ""Human machine"" with powerful, heroic fonts."
37,"Capture a group of puppies playing together in the most chaotic and adorable way. Show them wrestling, chasing, and tumbling over each other with pure puppy energy. Include shots of different breeds interacting playfully. Use upbeat, joyful music that matches their energy. Add cheerful text like ""Puppy party"" or ""Chaos and cuteness"" with fun, energetic fonts."
38,"Film a beautiful woman applying a glowing highlighter and showing off perfect skin. Show her blending techniques, the luminous effect, and confident expressions. Capture the radiant glow and makeup artistry under perfect lighting. Use trendy beauty music with modern beats. Include text like ""Glow goddess"" or ""Highlight queen"" with shimmery, glamorous fonts."
39,"Feature a professional surfer riding massive waves with incredible skill and bravery. Show him paddling into huge swells, riding the barrel, and executing perfect maneuvers. Capture the power of the ocean and his fearless attitude. Use epic surf rock music with ocean sounds. Add adventurous text like ""Wave warrior"" or ""Ocean beast"" with surf-inspired, coastal fonts."
40,"Show a sleepy owl chick with the fluffiest feathers and biggest eyes looking adorable. Capture its curious head movements, occasional wing stretches, and wise-looking expressions. Film in natural forest setting with soft lighting. Use peaceful nature music with forest sounds. Add enchanting text like ""Wise baby"" or ""Forest guardian"" with mystical, nature-themed fonts."
41,"Capture a fit woman performing an intense cardio dance workout with perfect rhythm and energy. Show her executing complex moves, sweating with determination, and maintaining perfect form. Emphasize her athletic ability and infectious energy. Use high-energy dance music with strong beats. Add motivational text like ""Dance fitness queen"" or ""Cardio goddess"" with dynamic, dance-themed fonts."
42,"Film a strongman competitor deadlifting incredible weights with raw power and determination. Show his massive frame, intense facial expressions, and successful lift execution. Capture the weight plates bending and his victorious celebration. Use powerful metal music with heavy guitar. Add impressive text like ""Strength titan"" or ""Iron beast"" with bold, metallic fonts."
43,"Feature a baby seal pup being adorably clumsy on the beach with innocent expressions. Show its awkward movements, curious explorations, and interactions with waves. Capture the pup's big eyes and whiskered face in close-ups. Use gentle ocean music with wave sounds. Add sweet text like ""Beach baby"" or ""Ocean cutie"" with soft, ocean-themed fonts."
44,"Show a stunning woman creating a perfect messy bun hairstyle with effortless technique. Capture her skilled hand movements, the styling process, and casual-chic final result. Film her confident expressions and hair-flipping moments. Use trendy lifestyle music that's Instagram-ready. Include text like ""Effortless style"" or ""Messy perfection"" with casual, modern fonts."
45,"Capture an extreme mountain biker hitting massive jumps and performing aerial tricks. Show him launching off ramps, executing backflips, and landing perfectly. Film his fearless expressions and the dramatic outdoor terrain. Use adrenaline-pumping electronic music with intense drops. Add extreme text like ""Airborne"" or ""Gravity defier"" with action-packed, extreme sports fonts."
46,"Film a curious kitten playing with a feather toy with intense focus and playful pouncing. Show its hunting instincts, quick reflexes, and adorable attack poses. Capture the kitten's dilated pupils and twitching tail. Use playful music with cat-like sound elements. Add cute text like ""Hunter in training"" or ""Feather fighter"" with playful, cat-themed fonts."
47,"Feature a gorgeous woman demonstrating a skincare glass skin routine with glowing results. Show her gentle application techniques, facial massage, and radiant final appearance. Capture the dewy skin effect and satisfied expressions. Use luxurious spa music with ethereal elements. Include text like ""Glass skin goals"" or ""Dewy goddess"" with clean, minimalist fonts."
48,"Show a professional parkour athlete flowing through urban obstacles with incredible fluidity and precision. Capture him vaulting over barriers, wall-running, and executing perfect landings. Film his athletic build and fearless urban navigation. Use electronic music with urban beats. Add dynamic text like ""Urban ninja"" or ""City flow"" with street-style, urban fonts."
49,"Capture a tiny duckling taking its first swim with adorable paddling motions and wonder. Show its fluffy yellow feathers, determined expressions, and natural swimming instincts. Film the peaceful pond setting and gentle water movements. Use serene nature music with water elements. Add heartwarming text like ""First swim"" or ""Natural born swimmer"" with gentle, water-themed fonts."
50,"Film a beautiful woman creating the perfect contour and highlight makeup look. Show her blending techniques, the sculpting process, and dramatic transformation results. Capture her focused expressions and professional application skills. Use trendy beauty music with sophisticated vibes. Include text like ""Contour queen"" or ""Face sculptor"" with elegant, beauty-focused fonts."
